PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C
11,1,3,"Sandstrom, Miss Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S
23,1,3,"McGowan, Miss Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q
40,1,3,"Nicola-Yarred, Miss Jamila",female,14.0,1,0,2651,11.2417,,C
44,1,2,"Laroche, Miss Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C
59,1,2,"West, Miss Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,,S
69,1,3,"Andersson, Miss Erna Alexandra",female,17.0,4,2,3101281,7.925,,S
79,1,2,"Caldwell, Master Alden Gates",male,0.83,0,2,248738,29.0,,S
85,1,2,"Ilett, Miss Bertha",female,17.0,0,0,SO/C 14885,10.5,,S
126,1,3,"Nicola-Yarred, Master Elias",male,12.0,1,0,2651,11.2417,,C
157,1,3,"Gilnagh, Miss Katherine ""Katie""",female,16.0,0,0,35851,7.7333,,Q
166,1,3,"Goldsmith, Master Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,,S
173,1,3,"Johnson, Miss Eleanor Ileen",female,1.0,1,1,347742,11.1333,,S
184,1,2,"Becker, Master Richard F",male,1.0,2,1,230136,39.0,F4,S
185,1,3,"Kink-Heilmann, Miss Luise Gretchen",female,4.0,0,2,315153,22.025,,S
194,1,2,"Navratil, Master Michel M",male,3.0,1,1,230080,26.0,F2,S
209,1,3,"Carr, Miss Helen ""Ellen""",female,16.0,0,0,367231,7.75,,Q
221,1,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,,S
234,1,3,"Asplund, Miss Lillian Gertrud",female,5.0,4,2,347077,31.3875,,S
238,1,2,"Collyer, Miss Marjorie ""Lottie""",female,8.0,0,2,C.A. 31921,26.25,,S
262,1,3,"Asplund, Master Edvin Rojj Felix",male,3.0,4,2,347077,31.3875,,S
306,1,1,"Allison, Master Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S
308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,PC 17758,108.9,C65,C
330,1,1,"Hippach, Miss Jean Gertrude",female,16.0,0,1,111361,57.9792,B18,C
341,1,2,"Navratil, Master Edmond Roger",male,2.0,1,1,230080,26.0,F2,S
349,1,3,"Coutts, Master William Loch ""William""",male,3.0,1,1,C.A. 37671,15.9,,S
382,1,3,"Nakid, Miss Maria (""Mary"")",female,1.0,0,2,2653,15.7417,,C
390,1,2,"Lehmann, Miss Bertha",female,17.0,0,0,SC 1748,12.0,,C
408,1,2,"Richards, Master William Rowe",male,3.0,1,1,29106,18.75,,S
436,1,1,"Carter, Miss Lucile Polk",female,14.0,1,2,113760,120.0,B96 B98,S
446,1,1,"Dodge, Master Washington",male,4.0,0,2,33638,81.8583,A34,S
447,1,2,"Mellinger, Miss Madeleine Violet",female,13.0,0,1,250644,19.5,,S
449,1,3,"Baclini, Miss Marie Catherine",female,5.0,2,1,2666,19.2583,,C
470,1,3,"Baclini, Miss Helene Barbara",female,0.75,2,1,2666,19.2583,,C
480,1,3,"Hirvonen, Miss Hildur E",female,2.0,0,1,3101298,12.2875,,S
490,1,3,"Coutts, Master Eden Leslie ""Neville""",male,9.0,1,1,C.A. 37671,15.9,,S
505,1,1,"Maioni, Miss Roberta",female,16.0,0,0,110152,86.5,B79,S
531,1,2,"Quick, Miss Phyllis May",female,2.0,1,1,26360,26.0,,S
536,1,2,"Hart, Miss Eva Miriam",female,7.0,0,2,F.C.C. 13529,26.25,,S
550,1,2,"Davies, Master John Morgan Jr",male,8.0,1,1,C.A. 33112,36.75,,S
551,1,1,"Thayer, Mr. John Borland Jr",male,17.0,0,2,17421,110.8833,C70,C
619,1,2,"Becker, Miss Marion Louise",female,4.0,2,1,230136,39.0,F4,S
645,1,3,"Baclini, Miss Eugenie",female,0.75,2,1,2666,19.2583,,C
690,1,1,"Madill, Miss Georgette Alexandra",female,15.0,0,1,24160,211.3375,B5,S
692,1,3,"Karun, Miss Manca",female,4.0,0,1,349256,13.4167,,C
721,1,2,"Harper, Miss Annie Jessie ""Nina""",female,6.0,0,1,248727,33.0,,S
751,1,2,"Wells, Miss Joan",female,4.0,1,1,29103,23.0,,S
752,1,3,"Moor, Master Meier",male,6.0,0,1,392096,12.475,E121,S
756,1,2,"Hamalainen, Master Viljo",male,0.67,1,1,250649,14.5,,S
778,1,3,"Emanuel, Miss Virginia Ethel",female,5.0,0,0,364516,12.475,,S
781,1,3,"Ayoub, Miss Banoura",female,13.0,0,0,2687,7.2292,,C
782,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,1,0,17474,57.0,B20,S
789,1,3,"Dean, Master Bertram Vere",male,1.0,1,2,C.A. 2315,20.575,,S
803,1,1,"Carter, Master William Thornton II",male,11.0,1,2,113760,120.0,B96 B98,S
804,1,3,"Thomas, Master Assad Alexander",male,0.42,0,1,2625,8.5167,,C
828,1,2,"Mallet, Master Andre",male,1.0,0,2,S.C./PARIS 2079,37.0042,,C
831,1,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15.0,1,0,2659,14.4542,,C
832,1,2,"Richards, Master George Sibley",male,0.83,1,1,29106,18.75,,S
854,1,1,"Lines, Miss Mary Conover",female,16.0,0,1,PC 17592,39.4,D28,S
870,1,3,"Johnson, Master Harold Theodor",male,4.0,1,1,347742,11.1333,,S
876,1,3,"Najib, Miss Adele Kiamie ""Jane""",female,15.0,0,0,2667,7.225,,C
